Agent,Score,Criterion
Claude_Code,3,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,3,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,5,Commit Coverage
Claude_Code,4,Commit Coverage
Claude_Code,5,Commit Coverage
