Agent,Score,Criterion
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,3,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,2,Readability
Claude_Code,5,Readability
Claude_Code,3,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,3,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,3,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,2,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,2,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,5,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
Claude_Code,4,Readability
