model,agent,pr_id,coverage_purpose,coverage_changes,rationale_clarity,commit_coverage,testing_guidance,readability
Deepseek-V3-0324,Claude_Code,3235820229,4,4,4,3,3,4
Deepseek-V3-0324,Claude_Code,3069923749,4,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,2889940415,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3253582273,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,3154096278,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,3145238894,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3138222448,4,5,4,4,3,4
Deepseek-V3-0324,Claude_Code,3094661465,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3251544513,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3037457814,4,4,3,4,2,4
Deepseek-V3-0324,Claude_Code,3245454530,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3277239540,5,4,5,4,4,5
Deepseek-V3-0324,Claude_Code,3216706697,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,2980205609,2,3,2,4,1,3
Deepseek-V3-0324,Claude_Code,3226645641,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3190681974,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,2903936265,3,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,2894762370,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,2986431376,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3136804156,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3140025663,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3207910026,4,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3230307499,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,2892364501,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3222268735,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3132009446,4,4,3,4,2,4
Deepseek-V3-0324,Claude_Code,3248781517,5,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3238491477,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3246796582,5,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3275097396,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3190199796,4,4,3,5,3,4
Deepseek-V3-0324,Claude_Code,3138027382,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3199623142,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,3226627949,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3154517662,2,3,1,3,1,2
Deepseek-V3-0324,Claude_Code,3266763733,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,2883083776,3,3,2,3,2,3
Deepseek-V3-0324,Claude_Code,3257102140,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3266316354,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3115027048,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3246684833,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3274741142,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3165440543,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3270842985,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3112345209,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3135266974,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3257330452,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3165407647,4,5,4,4,5,5
Deepseek-V3-0324,Claude_Code,3275367954,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3273752719,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3173233374,4,5,4,4,3,4
Deepseek-V3-0324,Claude_Code,2997643146,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3166710563,5,4,4,3,4,5
Deepseek-V3-0324,Claude_Code,3165503646,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3230351703,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3151360963,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,2912546402,4,4,3,5,2,4
Deepseek-V3-0324,Claude_Code,3250272016,4,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,3202692899,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3214782537,5,5,5,4,3,5
Deepseek-V3-0324,Claude_Code,3078006902,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3173165718,5,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,2973533797,2,4,2,4,1,3
Deepseek-V3-0324,Claude_Code,3219880512,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3158776739,5,5,4,5,5,5
Deepseek-V3-0324,Claude_Code,3234102722,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3231953757,5,4,4,3,4,4
Deepseek-V3-0324,Claude_Code,3167450477,5,4,5,4,4,5
Deepseek-V3-0324,Claude_Code,3226060777,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3128713996,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3246897503,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,2936982220,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,2914277614,4,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,3241861541,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3138362649,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3156775134,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,3259580896,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3273243547,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3029855439,5,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,3265640341,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3267110060,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3200946614,5,4,5,4,3,4
Deepseek-V3-0324,Claude_Code,3235395709,5,4,5,5,3,4
Deepseek-V3-0324,Claude_Code,3168125372,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3115760621,4,3,4,4,3,4
Deepseek-V3-0324,Claude_Code,3171863473,4,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3166199077,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3133058562,5,5,3,5,3,5
Deepseek-V3-0324,Claude_Code,3245161961,4,4,4,4,3,5
Deepseek-V3-0324,Claude_Code,3151798896,5,5,4,3,3,5
Deepseek-V3-0324,Claude_Code,3271740125,4,5,4,4,4,4
Deepseek-V3-0324,Claude_Code,3245552368,4,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3238483606,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,2959025892,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3231950376,5,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3251370397,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3119750112,5,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3214724259,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3276585540,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3250477735,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3203032594,5,5,5,5,5,5
Deepseek-V3-0324,Claude_Code,3275134373,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3152317896,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3277943226,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3245746342,4,4,4,4,4,4
