agent,criteria,min,q25,median,q75,max,mean,std,count
Claude_Code,coverage_purpose,1.0,4.0,5.0,5.0,5.0,4.545833333333333,0.8560953834448329,1200
Claude_Code,coverage_changes,1.0,4.0,5.0,5.0,5.0,4.416666666666667,0.7765665171481163,1200
Claude_Code,rationale_clarity,1.0,3.0,4.0,4.0,5.0,3.7775,0.9572497497170388,1200
Claude_Code,commit_coverage,1.0,4.0,4.0,5.0,5.0,4.0975,0.8914372757893102,1200
Claude_Code,testing_guidance,1.0,3.0,3.0,4.0,5.0,3.2091666666666665,1.235751851663144,1200
Claude_Code,readability,1.0,4.0,5.0,5.0,5.0,4.6125,0.6969053618199055,1200
Copilot,coverage_purpose,1.0,5.0,5.0,5.0,5.0,4.735833333333333,0.5739186692283924,1200
Copilot,coverage_changes,1.0,4.0,5.0,5.0,5.0,4.560833333333333,0.830441231448011,1200
Copilot,rationale_clarity,1.0,4.0,4.0,5.0,5.0,4.160833333333334,0.8113564602291372,1200
Copilot,commit_coverage,1.0,3.0,4.0,4.0,5.0,3.6216666666666666,0.9679172944466324,1200
Copilot,testing_guidance,1.0,3.0,3.0,4.0,5.0,3.1433333333333335,1.2279205547953373,1200
Copilot,readability,2.0,4.0,5.0,5.0,5.0,4.655833333333334,0.5234971877245909,1200
Cursor,coverage_purpose,1.0,3.0,4.0,5.0,5.0,3.7716666666666665,1.308764260242802,1200
Cursor,coverage_changes,1.0,3.0,4.0,4.0,5.0,3.6366666666666667,1.0922403072991258,1200
Cursor,rationale_clarity,1.0,2.0,3.0,4.0,5.0,3.0075,1.2446326432593138,1200
Cursor,commit_coverage,1.0,3.0,4.0,4.0,5.0,3.6308333333333334,1.006420706707135,1200
Cursor,testing_guidance,1.0,1.0,1.0,3.0,5.0,2.0025,1.2168923877374422,1200
Cursor,readability,1.0,4.0,4.0,5.0,5.0,3.930833333333333,1.13770938243863,1200
Devin,coverage_purpose,1.0,4.0,5.0,5.0,5.0,4.365833333333334,0.8298590074357345,1200
Devin,coverage_changes,1.0,4.0,4.0,5.0,5.0,4.155833333333334,0.8009677306580807,1200
Devin,rationale_clarity,1.0,3.0,4.0,4.0,5.0,3.5416666666666665,0.9634645239389402,1200
Devin,commit_coverage,1.0,4.0,4.0,4.0,5.0,3.9166666666666665,0.8394773506308685,1200
Devin,testing_guidance,1.0,2.0,3.0,4.0,5.0,3.006666666666667,1.2635751747411874,1200
Devin,readability,1.0,4.0,5.0,5.0,5.0,4.483333333333333,0.6107827400602899,1200
OpenAI_Codex,coverage_purpose,1.0,3.0,4.0,4.0,5.0,3.3975,0.8521504659780846,1200
OpenAI_Codex,coverage_changes,1.0,3.0,4.0,4.0,5.0,3.6325,0.7296874330835087,1200
OpenAI_Codex,rationale_clarity,1.0,2.0,3.0,3.0,5.0,2.4058333333333333,0.8894563726731565,1200
OpenAI_Codex,commit_coverage,1.0,4.0,4.0,4.0,5.0,3.8333333333333335,0.7027722880769337,1200
OpenAI_Codex,testing_guidance,1.0,3.0,3.0,4.0,5.0,3.2733333333333334,0.9514667040358735,1200
OpenAI_Codex,readability,1.0,4.0,4.0,4.0,5.0,3.921666666666667,0.4853149034962306,1200
